Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
2647,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Of Little Importance,Neutral,Neutral,Neutral,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Of Little Importance,Yes,Yes,Agree,Neutral,Disagree,Neutral,Watershed Protection,Yes
2648,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,No,Yes,Agree,Agree,Neutral,Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
2649,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Absolutely Essential,Likely,Likely,Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Yes,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Financial Services Department,
2650,More than 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Communications and Technology Management,
2651,11 to 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Not Important At All,Very Important,Not Important At All,Not Important At All,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,No,No,Strongly Agree,Agree,Agree,Agree,Development Services Department,I am not eligible for my department's retention program.
2652,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Disagree,Disagree,Neutral,Strongly Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
2653,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,Within the past 3 months,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,No,No,Agree,Neutral,Agree,Agree,Austin Public Health,Yes
2654,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,No,No,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Austin Water,Yes
2655,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Neutral,Neutral,Neutral,Within the past 3 months,Very Important,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,No,No,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Watershed Protection,No
2656,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Unlikely,Over 6 months ago,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Yes,No,Agree,Agree,Neutral,Neutral,Austin Energy,Yes
2657,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,No,Strongly Agree,Agree,Agree,Agree,Development Services Department,I am not aware of any retention programs offered by my department.
2658,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Unlikely,Extremely Likely,Over 6 months ago,Very Important,Absolutely Essential,Of Little Importance,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Yes,No,Neutral,Strongly Agree,Agree,Neutral,Austin Public Health,Yes
2659,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Likely,Neutral,Neutral,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Agree,Strongly Agree,Agree,Communications and Technology Management,
2660,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely unlikely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Strongly Agree,Disagree,Neutral,Neutral,Austin Public Health,I am not aware of any retention programs offered by my department.
2661,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Likely,Unlikely,Neutral,Over 6 months ago,Very Important,Of Little Importance,Of Little Importance,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,No,No,Agree,Strongly Agree,Disagree,Agree,Austin Public Library,I am not aware of any retention programs offered by my department.
2662,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,3 months to 6 months ago,Very Important,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Of Little Importance,Absolutely Essential,Very Important,Not Important At All,No,No,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Police Department,
2663,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Not Important At All,Not Important At All,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Yes,Yes,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Austin Water,Yes
2664,More than 15 years,"Yes, I have transferred between City departments.",Not Important At All,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Not Important At All,Likely,Unlikely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Of Little Importance,Of Little Importance,Very Important,Very Important,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Strongly Disagree,Disagree,Disagree,Austin Energy,I am not aware of any retention programs offered by my department.
2665,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Not Important At All,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Not Important At All,Yes,Yes,Strongly Agree,Neutral,Agree,Agree,Austin Energy,I am not aware of any retention programs offered by my department.
2666,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,No,I am unaware of any training or development opportunities offered the City.,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Communications and Public Information Office,
2667,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Unlikely,Extremely Likely,Over 6 months ago,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,No,No,Neutral,Strongly Agree,Strongly Agree,Agree,City Auditor,
2668,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,No,Yes,Agree,Agree,Disagree,Neutral,Parks and Recreation,
2669,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Of Little Importance,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Yes,Yes,Neutral,Agree,Agree,Agree,Austin Energy,Yes
2670,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Extremely unlikely,Extremely Likely,Within the past 3 months,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,No,No,Agree,Disagree,Neutral,Agree,Municipal Court,I am not aware of any retention programs offered by my department.
2671,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Very Important,Yes,Yes,Agree,Agree,Strongly Disagree,Neutral,Police Department,
2672,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Neutral,Unlikely,Unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Of Little Importance,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,No,No,Strongly Disagree,Agree,Strongly Disagree,Neutral,Police Department,
2673,11 to 15 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Likely,Likely,Unlikely,3 months to 6 months ago,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Watershed Protection,I am not aware of any retention programs offered by my department.
2674,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Unlikely,Unlikely,Extremely unlikely,Within the past 3 months,Very Important,Very Important,Of Little Importance,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,No,Strongly Disagree,Strongly Disagree,Disagree,Disagree,I Prefer Not to Disclose,
2675,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Austin Water,Yes
2676,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Yes,Yes,Strongly Agree,Strongly Disagree,Neutral,Agree,Austin Water,Yes
2677,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,No,No,Strongly Agree,Agree,Strongly Agree,Agree,Watershed Protection,I am not aware of any retention programs offered by my department.
2678,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,I have not applied for any jobs outside the City,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Not Important At All,No,No,Neutral,Neutral,Disagree,Disagree,BSD,I am not aware of any retention programs offered by my department.
2679,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Of Little Importance,Yes,Yes,Agree,Agree,Agree,Agree,Austin Water,No
2680,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Yes,No,Agree,Agree,Agree,Neutral,Capital Delivery Services,
2681,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely unlikely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,No,Yes,Agree,Disagree,Neutral,Strongly Agree,Austin Public Library,I am not aware of any retention programs offered by my department.
2682,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Neutral,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Of Little Importance,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Agree,Agree,Strongly Agree,Police Department,
2683,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Of Little Importance,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Communications and Technology Management,
2684,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Neither Important Nor Unimportant,No,No,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Communications and Technology Management,
2685,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,Over 6 months ago,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,No,Agree,Agree,Agree,Agree,Austin Energy,Yes
2686,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Neutral,Within the past 3 months,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Disagree,Agree,Agree,Strongly Agree,Police Department,
2687,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Of Little Importance,No,No,Neutral,Agree,Agree,Agree,Parks and Recreation,
2688,More than 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Agree,Agree,Agree,Development Services Department,I am not aware of any retention programs offered by my department.
2689,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Disagree,Neutral,Neutral,Neutral,Fire Department,
2690,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,No,Yes,Agree,Agree,Agree,Agree,Communications and Technology Management,
2691,11 to 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,No,No,Disagree,Neutral,Neutral,Disagree,Development Services Department,I am not aware of any retention programs offered by my department.
2692,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Of Little Importance,Absolutely Essential,Very Important,No,No,Disagree,Disagree,Neutral,Neutral,Austin Energy,Yes
2693,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Extremely unlikely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,Of Little Importance,Very Important,Absolutely Essential,Very Important,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Watershed Protection,I am not aware of any retention programs offered by my department.
2694,More than 15 years,"Yes, I have transferred between City departments.",Of Little Importance,Not Important At All,Not Important At All,Of Little Importance,Very Important,Of Little Importance,Unlikely,Extremely unlikely,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Yes,Yes,Agree,Agree,Agree,Agree,Homeland Security and Emergency Management,
2695,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Likely,Within the past 3 months,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,No,No,Disagree,Agree,Neutral,Neutral,Development Services Department,Yes
2696,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Neutral,Over 6 months ago,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Agree,Agree,Agree,Austin Public Health,Yes
2697,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Extremely unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Yes,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Agree,Agree,Agree,Transportation and Public Works,Yes
2698,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Not Important At All,Absolutely Essential,Absolutely Essential,Not Important At All,Neither Important Nor Unimportant,Extremely Likely,Neutral,Neutral,Within the past 3 months,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Neither Important Nor Unimportant,Yes,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Agree,Agree,Agree,Austin Energy,I am not aware of any retention programs offered by my department.
2699,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Very Important,Absolutely Essential,Very Important,Not Important At All,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Transportation and Public Works,Yes
2700,11 to 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Of Little Importance,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Yes,Yes,Agree,Strongly Agree,Agree,Agree,Watershed Protection,I am not eligible for my department's retention program.
2701,6 to 10 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Yes,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Agree,Strongly Agree,Agree,Austin Convention Center,
2702,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Extremely unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Strongly Disagree,Agree,Agree,Disagree,Austin Energy,I am not aware of any retention programs offered by my department.
2703,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Yes,Yes,Agree,Agree,Agree,Agree,Development Services Department,I am not aware of any retention programs offered by my department.
2704,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Parks and Recreation,
2705,More than 15 years,"Yes, I have transferred between City departments.",Neither Important Nor Unimportant,Of Little Importance,Very Important,Of Little Importance,Of Little Importance,Of Little Importance,Extremely unlikely,Extremely unlikely,Extremely unlikely,I have not applied for any jobs outside the City,Very Important,Of Little Importance,Neither Important Nor Unimportant,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Not Important At All,Yes,Yes,Neutral,Neutral,Agree,Agree,Austin Water,Yes
2706,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Public Library,Yes
2707,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Of Little Importance,Absolutely Essential,Of Little Importance,Not Important At All,Not Important At All,Likely,Likely,Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Neutral,Neutral,Neutral,Parks and Recreation,
2708,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Watershed Protection,I am not aware of any retention programs offered by my department.
2709,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Extremely unlikely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Of Little Importance,Absolutely Essential,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,No,No,Agree,Neutral,Agree,Neutral,Austin Public Library,No
2710,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Of Little Importance,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Neutral,Unlikely,Unlikely,3 months to 6 months ago,Very Important,Very Important,Of Little Importance,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,No,No,Strongly Disagree,Disagree,Neutral,Strongly Disagree,City Manager,
2711,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,Over 6 months ago,Very Important,Of Little Importance,Very Important,Absolutely Essential,Absolutely Essential,Of Little Importance,Absolutely Essential,Not Important At All,No,No,Neutral,Strongly Disagree,Disagree,Neutral,Austin-Bergstrom International Airport,Yes
